SampleID	grain_length
IRIS_313-10716_IRIS_313-10716 8.1
IRIS_313-10717_IRIS_313-10717 8.9
IRIS_313-10718_IRIS_313-10718 7.3
IRIS_313-10719_IRIS_313-10719 8
IRIS_313-10720_IRIS_313-10720 9
IRIS_313-10721_IRIS_313-10721 7.7
IRIS_313-10722_IRIS_313-10722 6.8
IRIS_313-10723_IRIS_313-10723 8.1
IRIS_313-10725_IRIS_313-10725 8.7
IRIS_313-10726_IRIS_313-10726 9.2
IRIS_313-10728_IRIS_313-10728 7.9
IRIS_313-10729_IRIS_313-10729 8.1
IRIS_313-10730_IRIS_313-10730 9.3
IRIS_313-10731_IRIS_313-10731 8.3
IRIS_313-10732_IRIS_313-10732 8.4
IRIS_313-10733_IRIS_313-10733 9.6
IRIS_313-10734_IRIS_313-10734 8
IRIS_313-10735_IRIS_313-10735 8.5
IRIS_313-10736_IRIS_313-10736 6.5
IRIS_313-10737_IRIS_313-10737 8.2
IRIS_313-10738_IRIS_313-10738 7.4
IRIS_313-10739_IRIS_313-10739 8.4
IRIS_313-10740_IRIS_313-10740 9.8
IRIS_313-10741_IRIS_313-10741 9.5
IRIS_313-10742_IRIS_313-10742 8.5
IRIS_313-10743_IRIS_313-10743 7.5
IRIS_313-10744_IRIS_313-10744 6.9
IRIS_313-10745_IRIS_313-10745 8.7
IRIS_313-10747_IRIS_313-10747 9.2
IRIS_313-10748_IRIS_313-10748 8.6
IRIS_313-10750_IRIS_313-10750 8.8
IRIS_313-10751_IRIS_313-10751 7.8
IRIS_313-10752_IRIS_313-10752 9.6
IRIS_313-10753_IRIS_313-10753 8.5
IRIS_313-10754_IRIS_313-10754 8.1
IRIS_313-10755_IRIS_313-10755 9.6
IRIS_313-10756_IRIS_313-10756 7.6
IRIS_313-10758_IRIS_313-10758 9.5
IRIS_313-10759_IRIS_313-10759 9.6
IRIS_313-10761_IRIS_313-10761 8.5
IRIS_313-10762_IRIS_313-10762 8.4
IRIS_313-10765_IRIS_313-10765 8.5
IRIS_313-10766_IRIS_313-10766 7.8
IRIS_313-10767_IRIS_313-10767 8
IRIS_313-10768_IRIS_313-10768 8.8
IRIS_313-10769_IRIS_313-10769 9.4
IRIS_313-10770_IRIS_313-10770 8.3
IRIS_313-10772_IRIS_313-10772 8.2
IRIS_313-10773_IRIS_313-10773 9.3
IRIS_313-10774_IRIS_313-10774 9.5
IRIS_313-10775_IRIS_313-10775 9.3
IRIS_313-10776_IRIS_313-10776 8.3
IRIS_313-10777_IRIS_313-10777 7.7
IRIS_313-10779_IRIS_313-10779 9.5
IRIS_313-10780_IRIS_313-10780 8.6
IRIS_313-10781_IRIS_313-10781 9.8
IRIS_313-10782_IRIS_313-10782 9.7
IRIS_313-10783_IRIS_313-10783 8.9
IRIS_313-10784_IRIS_313-10784 9.6
IRIS_313-10785_IRIS_313-10785 9.9
IRIS_313-10788_IRIS_313-10788 8.5
IRIS_313-10789_IRIS_313-10789 9.6
IRIS_313-10791_IRIS_313-10791 8.8
IRIS_313-10792_IRIS_313-10792 8.5
IRIS_313-10793_IRIS_313-10793 7.8
IRIS_313-10794_IRIS_313-10794 8.6
IRIS_313-10795_IRIS_313-10795 8.3
IRIS_313-10796_IRIS_313-10796 9.2
IRIS_313-10797_IRIS_313-10797 9.8
IRIS_313-10798_IRIS_313-10798 6.9
IRIS_313-10799_IRIS_313-10799 8.6
IRIS_313-10800_IRIS_313-10800 10.1
IRIS_313-10801_IRIS_313-10801 8.9
IRIS_313-10804_IRIS_313-10804 7.8
IRIS_313-10805_IRIS_313-10805 8.3
IRIS_313-10806_IRIS_313-10806 8.9
IRIS_313-10808_IRIS_313-10808 9.2
